modGenes	module	colourRGB
ENSBTAG00000000005	turquoise	#40E0D0
ENSBTAG00000000010	brown	#A52A2A
ENSBTAG00000000012	magenta	#FF00FF
ENSBTAG00000000013	greenyellow	#ADFF2F
ENSBTAG00000000014	turquoise	#40E0D0
ENSBTAG00000000019	purple	#A020F0
ENSBTAG00000000020	red	#FF0000
ENSBTAG00000000021	turquoise	#40E0D0
ENSBTAG00000000022	tan	#D2B48C
ENSBTAG00000000023	darkred	#8B0000
ENSBTAG00000000024	blue	#0000FF
ENSBTAG00000000025	purple	#A020F0
ENSBTAG00000000026	yellow	#FFFF00
ENSBTAG00000000037	blue	#0000FF
ENSBTAG00000000039	turquoise	#40E0D0
ENSBTAG00000000049	turquoise	#40E0D0
ENSBTAG00000000054	turquoise	#40E0D0
ENSBTAG00000000056	darkturquoise	#00CED1
ENSBTAG00000000060	red	#FF0000
ENSBTAG00000000065	black	#000000
ENSBTAG00000000072	green	#00FF00
ENSBTAG00000000077	brown	#A52A2A
ENSBTAG00000000079	yellow	#FFFF00
ENSBTAG00000000081	skyblue	#87CEEB
ENSBTAG00000000087	turquoise	#40E0D0
ENSBTAG00000000088	turquoise	#40E0D0
ENSBTAG00000000090	blue	#0000FF
ENSBTAG00000000094	black	#000000
ENSBTAG00000000095	turquoise	#40E0D0
ENSBTAG00000000097	pink	#FFC0CB
ENSBTAG00000000098	greenyellow	#ADFF2F
ENSBTAG00000000099	brown	#A52A2A
ENSBTAG00000000105	pink	#FFC0CB
ENSBTAG00000000108	purple	#A020F0
ENSBTAG00000000111	magenta	#FF00FF
ENSBTAG00000000113	brown	#A52A2A
ENSBTAG00000000115	darkgrey	#A9A9A9
ENSBTAG00000000125	blue	#0000FF
ENSBTAG00000000131	brown	#A52A2A
ENSBTAG00000000137	tan	#D2B48C
ENSBTAG00000000139	turquoise	#40E0D0
ENSBTAG00000000140	turquoise	#40E0D0
ENSBTAG00000000147	black	#000000
ENSBTAG00000000149	darkred	#8B0000
ENSBTAG00000000152	purple	#A020F0
ENSBTAG00000000157	turquoise	#40E0D0
ENSBTAG00000000160	blue	#0000FF
ENSBTAG00000000175	tan	#D2B48C
ENSBTAG00000000176	royalblue	#4169E1
ENSBTAG00000000181	brown	#A52A2A
ENSBTAG00000000184	black	#000000
ENSBTAG00000000191	turquoise	#40E0D0
ENSBTAG00000000199	turquoise	#40E0D0
ENSBTAG00000000201	blue	#0000FF
ENSBTAG00000000202	turquoise	#40E0D0
ENSBTAG00000000203	pink	#FFC0CB
ENSBTAG00000000204	turquoise	#40E0D0
ENSBTAG00000000205	brown	#A52A2A
ENSBTAG00000000207	yellow	#FFFF00
ENSBTAG00000000210	yellow	#FFFF00
ENSBTAG00000000212	brown	#A52A2A
ENSBTAG00000000213	greenyellow	#ADFF2F
ENSBTAG00000000215	darkorange	#FF8C00
ENSBTAG00000000218	blue	#0000FF
ENSBTAG00000000221	turquoise	#40E0D0
ENSBTAG00000000222	royalblue	#4169E1
ENSBTAG00000000223	greenyellow	#ADFF2F
ENSBTAG00000000225	turquoise	#40E0D0
ENSBTAG00000000228	cyan	#00FFFF
ENSBTAG00000000236	royalblue	#4169E1
ENSBTAG00000000240	blue	#0000FF
ENSBTAG00000000241	darkgreen	#006400
ENSBTAG00000000256	turquoise	#40E0D0
ENSBTAG00000000260	tan	#D2B48C
ENSBTAG00000000261	turquoise	#40E0D0
ENSBTAG00000000265	red	#FF0000
ENSBTAG00000000266	pink	#FFC0CB
ENSBTAG00000000267	magenta	#FF00FF
ENSBTAG00000000269	black	#000000
ENSBTAG00000000274	brown	#A52A2A
ENSBTAG00000000275	magenta	#FF00FF
ENSBTAG00000000277	turquoise	#40E0D0
ENSBTAG00000000285	green	#00FF00
ENSBTAG00000000287	magenta	#FF00FF
ENSBTAG00000000288	tan	#D2B48C
ENSBTAG00000000289	salmon	#FA8072
ENSBTAG00000000290	purple	#A020F0
ENSBTAG00000000291	turquoise	#40E0D0
ENSBTAG00000000292	turquoise	#40E0D0
ENSBTAG00000000295	turquoise	#40E0D0
ENSBTAG00000000296	turquoise	#40E0D0
